1961-01-01,22HR,-21,-14,-9,-8,-13,-4,-8,-11,-14,-11,-15,-23
1964-11-01,17HR,-87,-75,-57,-63,-80,-44,-46,-62,-81,-67,-74,-89
1990-02-01,16HR,-101,-100,-76,-86,-99,-59,-55,-76,-101,-87,-98,-105
1995-07-01,08HR,43,42,14,-6,-7,-12,-10,-21,-15,-22,4,32
