1893,,,,,,,,,,1003,786,730
1894,,,712,859,1050,1262,1300,1461,1415,1147,1041,653
1895,674,650,680,773,1006,1147,1308,1191,1145,1064,716,588
1896,623,767,688,680,877,1195,,1412,1234,1049,489,798
1897,548,609,472,935,1073,1281,1318,1266,1262,1170,708,674
1898,516,750,648,808,1053,1272,1254,1387,1275,1109,796,611
1899,559,424,602,774,901,1030,1252,1286,1207,1017,981,646
1900,744,652,864,899,1096,1255,1340,1395,1262,991,911,831
1901,566,629,750,736,1027,1116,1230,1184,1182,1282,976,727
1902,566,843,659,823,1055,1220,1277,,1186,1185,804,636
1903,671,554,669,738,983,1276,,1350,1237,1158,858,749
1904,572,528,605,954,987,1075,1199,1179,1086,1161,1105,730
1905,624,738,970,987,1014,1182,1299,1337,1304,1033,776,634
1906,667,853,736,918,1031,1160,1366,1261,1256,1085,796,
1907,435,910,721,982,1182,1288,1445,1290,1393,1191,970,808
1908,744,649,730,816,969,1182,1304,1192,1147,,979,541
1909,378,573,683,767,825,1123,1368,1441,1257,1086,714,383
1910,378,493,793,811,1088,1172,1229,1222,1160,1124,742,727
1911,380,494,798,712,874,1070,1289,1323,1195,1153,808,593
1912,663,785,742,824,1086,1193,1321,1352,1392,914,855,604
1913,375,527,586,801,1011,1307,1421,1442,1318,1024,803,595
1914,719,683,894,971,1076,1203,1243,1296,1215,1233,884,412
1915,643,761,971,980,1128,1316,1449,1472,1266,1124,772,605
1916,158,837,751,900,948,1178,1431,1357,1325,929,635,441
1917,435,508,524,786,977,1169,1279,,1344,1099,1059,867
1918,811,659,646,903,1023,1272,1307,1404,1256,1107,872,575
1919,662,619,723,877,1028,1113,,1305,1404,909,760,524
1920,596,602,686,667,892,1160,1403,1309,1352,1130,,745
1921,587,760,737,831,1053,,1274,1299,1342,1213,971,581
1922,495,590,631,726,1052,1342,1324,1403,1392,1197,912,619
1923,614,438,639,773,994,1225,1379,1552,1411,1317,1162,712
1924,645,975,660,878,1105,1161,1294,1310,1213,1130,884,435
1925,697,843,726,911,,1243,,,1297,999,805,942
1926,818,924,963,1141,1184,1316,1407,1451,1296,1287,1062,714
1927,641,728,639,837,962,1197,1394,1352,1327,1175,953,546
1928,736,683,927,895,1102,1210,1420,1353,1238,1052,874,588
1929,370,446,717,684,908,1178,1392,1357,1260,1219,877,746
1930,84,815,955,1143,1055,1237,1276,1470,1247,1042,900,692
1931,779,807,861,1046,1223,1365,1430,1453,1381,,,
1933,,,,,,1052,,1273,1205,1131,939,823
1934,837,1025,1116,1122,1333,1344,1455,1480,1371,1202,1030,769
1935,601,,601,877,938,1343,1362,1481,1335,994,648,768
1936,,486,662,987,1180,1472,1500,1509,1322,1216,924,676
1937,100,584,859,863,1051,1323,1342,1415,1352,1356,1008,826
1938,723,758,772,1006,1078,1238,1294,1339,1417,1259,820,742
1939,687,555,740,963,1162,1265,1403,1314,1411,1193,1008,886
1940,703,863,940,1059,1197,1226,1459,1435,1532,1357,816,758
1941,826,969,1053,997,1193,1435,1505,1439,1368,1174,984,649
1942,607,688,707,978,1160,1305,1596,1514,1306,1177,851,777
1943,456,851,797,983,1032,1256,1308,1395,1397,1187,1019,710
1944,654,660,703,925,1074,1282,1360,1444,1340,1306,921,683
1945,754,744,687,822,1149,1246,1295,1285,1297,1060,802,717
1946,635,653,726,852,1187,1344,1467,1356,1353,960,721,659
1947,468,818,900,,1136,1356,1572,1443,1365,1181,901,740
1948,658,530,692,785,1120,1383,1432,1522,1392,1064,731,398
1953,,,,,,,,1474,1373,1220,1020,798
1954,577,810,602,769,1019,1201,1283,1394,1346,1165,1100,770
1955,587,555,580,645,900,1165,1300,1208,1213,1116,696,640
1956,642,447,609,811,1062,1227,1387,1398,1271,1017,807,703
1957,256,712,788,885,1142,1371,1414,1445,1517,1167,833,847
1958,881,1049,758,982,1214,1516,1516,1394,1410,1237,877,944
1959,839,667,806,942,1077,1334,1374,1285,1287,1177,873,666
1960,541,688,785,931,1074,1226,1261,1340,,1142,881,765
1961,899,860,809,843,1092,1303,1466,1408,1197,1054,727,663
1962,516,725,714,895,989,1151,1237,1420,1325,1136,,761
1963,361,1043,740,811,1076,1198,1419,1399,1490,1280,967,
1964,,615,672,735,919,,1371,,,,741,568
1965,627,670,754,859,912,1152,1301,1457,1341,1295,1051,584
1966,685,705,718,928,963,1315,1375,1304,1447,1129,929,
1967,,680,673,687,1052,1377,1452,1461,1497,1221,972,562
1968,629,1022,894,759,1102,1349,1435,1473,1402,1092,933,524
1969,352,587,790,871,1131,1468,1392,1391,1373,1133,942,807
1970,688,968,797,737,1006,1265,1328,1325,1216,1043,858,554
1971,550,638,597,742,964,1149,1347,1553,1397,1012,826,524
1972,441,700,840,737,1053,1250,1442,1459,1254,1037,881,428
1973,535,857,703,885,1087,1297,1380,1275,1339,1056,752,814
1974,444,620,711,859,995,1197,1395,1429,1413,1092,864,755
1975,660,636,640,611,1010,1178,1384,1362,1401,1103,788,727
1976,697,617,632,787,1027,1155,1440,1451,1453,1171,1063,757
1977,694,948,693,867,978,1291,1356,1489,1344,1154,807,786
1978,788,903,956,904,1073,1426,1424,1464,1404,1224,603,349
1979,250,647,858,914,1091,1230,1553,1574,1600,1303,928,881
1980,639,,771,949,,1236,1394,1335,1370,1180,1003,869
1981,941,864,874,951,1106,1322,1348,1481,1362,1169,975,754
1982,545,651,686,772,986,1180,1344,1344,1323,1187,778,660
1983,852,895,906,886,1065,1287,1502,1467,1347,1100,928,458
1984,747,860,965,886,1079,1196,1282,1430,1427,1078,895,543
1985,661,555,605,867,1078,1215,1368,1370,1294,1022,399,603
1986,853,690,920,741,,,,,,,,
1988,,821,764,900,1128,1308,1404,1362,1325,1270,995,799
1989,652,391,807,1107,1146,1358,1488,1505,1385,1119,976,811
1990,729,652,853,1004,1090,1332,1447,1535,1487,1098,915,371
1991,638,1008,703,844,1006,1248,1428,1461,1551,1183,983,813
1992,901,1120,1065,1164,1272,1426,1519,1531,1351,1225,956,611
1993,487,668,938,1002,1288,1387,,1473,1273,1213,650,725
1994,841,689,929,987,1161,1276,1351,1548,1417,1093,673,677
1995,855,918,908,909,1116,1245,1518,1424,1537,1204,1129,826
1996,726,814,924,1023,1085,1294,1399,1385,1323,1148,925,792
1997,713,745,810,956,1348,1412,1530,,,,1097,758
1998,878,866,868,864,1132,1290,1483,1474,1287,1237,941,598
1999,707,679,,812,985,1252,1324,1499,,,,
2001,,,,,,,,,1341,1094,1018,777
2002,702,768,706,,,1339,1473,1395,,1082,1102,863
2003,1013,819,,,,1404,,1475,1419,,797,808
2004,747,873,,1081,1289,1426,,,,1234,860,833
2005,,,981,,,1407,,,,,,
2006,,674,,,,,,,,,,
2007,,,807,,,,,1438,,1087,,
2008,,,,,,,,,1289,1122,1057,562
2009,780,784,730,829,1066,1345,,1489,1501,1188,1001,552
2010,,1002,923,910,1041,,1301,,1430,1204,,
2011,,577,767,737,957,,,,,,,
2025,,662,844,933,1083,1220,1277,1478,1423,1216,1056,922
2026,894,842,867,970,1096,1265,1340,1454,,,,
