1935,,,,,,,,,1357,779,-437,-1041
1983,-1030,-550,-144,344,969,1774,2219,2181,1428,709,-75,-1717
1984,,-493,-586,709,1094,1861,2060,2076,1215,871,-180,-958
1985,,,-4,842,1515,1557,2014,1719,1292,662,-581,-1671
1986,-1114,-1120,-96,798,1362,1809,2097,1702,1336,766,-361,-801
1987,-895,-342,124,1014,1513,2041,2214,1888,1511,442,26,-679
1988,-1519,-1319,-250,580,1615,,2378,2095,1440,465,-150,-1058
1989,-842,-1445,-601,,1279,1713,,1833,1318,672,-460,-1468
1990,-661,-865,1,687,1134,1877,1993,1947,,650,117,-997
1991,-1425,-749,-194,727,1428,1996,1993,2001,1307,595,-606,-906
1992,-933,-530,-186,334,1338,1633,1706,1687,1288,597,-247,-911
1993,-1262,-1069,-385,377,1179,1582,1949,1970,1058,567,-305,-894
1994,-1847,-1346,-126,499,1301,1867,1941,1808,1593,855,88,-623
1995,-1083,-1055,-182,259,1199,2031,2030,2118,1324,699,,-1142
1996,-1582,-1144,-693,273,1117,1832,1882,1948,1435,680,-543,-1217
1997,-1427,-931,-361,410,952,1947,1976,1791,1461,817,-352,-501
1998,-972,-195,-216,830,1635,1676,2084,2053,1721,844,59,-661
1999,-1450,-605,-169,747,1332,1800,2213,1911,1368,716,261,-743
2000,-1277,-694,193,500,,1685,2063,1977,1318,889,-206,-1611
2001,-1050,-1414,-513,603,1358,1909,2209,2138,1348,681,546,-452
2002,-727,-650,-768,405,880,1862,2271,1924,1545,344,-191,-629
2003,-1288,-1264,-395,514,1208,1797,2051,2159,1458,793,-139,-690
2004,-1490,-942,-190,,1019,1604,1959,1618,1674,801,156,-912
2005,-1236,-686,-453,805,1016,2074,2165,1996,1675,901,37,-909
2006,-461,-1044,-223,906,1328,1917,2353,2023,1287,535,44,-454
2007,-976,-1320,5,533,1442,1937,2068,1904,1465,1011,-88,-1090
2008,-1242,-1214,-583,340,1085,1722,1970,1874,1421,700,-121,-1296
2009,-1732,-849,-326,532,1212,1645,1706,1775,1703,411,360,-985
2010,-1175,-924,217,993,1378,1756,2136,2107,1302,921,-43,-1054
2011,-1365,-958,-474,421,1186,1752,2290,1994,1410,963,140,-562
2012,-806,-462,499,705,1484,1886,2335,1923,1432,572,8,-650
2013,-1105,-1044,-638,90,1150,1751,2028,2008,1598,726,-263,-1390
2014,-1646,-1578,-790,214,1222,1855,1909,1961,1418,697,-594,-603
2015,-1116,-1496,-85,699,1310,1801,2041,1829,1791,867,318,-254
2016,-1099,-756,186,576,,,,,,,,
2017,,,,683,1169,1790,2001,1745,1640,887,-246,-1015
2018,-1214,-1266,-312,-131,1668,1934,2073,1985,1588,488,-465,-555
2019,-1190,-1308,-556,465,1039,1762,2144,1842,1581,571,-346,-772
2020,-831,-923,-31,410,1220,1913,2171,2009,1356,354,177,-607
2021,-834,-1385,163,589,1230,2088,2119,2020,1586,1147,20,-684
2022,-1515,-1259,-307,222,1341,1846,2060,1922,1565,809,-17,-999
2023,-780,-924,-489,432,1473,2043,2003,1973,1720,918,41,-74
2024,-761,-174,17,684,1437,1765,2033,1941,1819,1120,210,-630
2025,-1201,-1136,64,525,1337,1807,2120,1902,1710,1103,129,-939
2026,-1317,-573,18,630,1266,1821,2291,,,,,
