1896,,,,,,,,,1277,658,,-447
1965,-1004,-903,-439,485,1618,1783,1991,1911,1390,966,149,-212
1966,-1315,-704,104,546,1120,1974,2288,1912,1429,909,114,-651
1967,-777,-1151,-175,726,1076,1933,2023,1811,1466,880,56,-515
1968,-839,-885,337,809,1220,1898,2086,2025,1619,1057,121,-641
1969,-1071,-644,-360,792,1381,1504,2118,2180,1493,809,-3,-569
1970,-1307,-860,-246,751,1386,2023,2253,2043,1607,1077,61,-688
1971,-1304,-884,-361,670,1231,2145,2014,1888,1700,1311,148,-476
1972,-1222,-1012,-420,429,1585,1803,2085,2007,1477,765,69,-862
1973,-643,-558,400,622,1140,2038,2262,2112,1554,1216,20,-725
1974,-884,-810,-88,869,1194,1774,2261,1980,1265,900,177,-432
1975,-818,-829,-452,329,1629,1902,2227,2055,1321,1121,431,-603
1976,-1134,-406,,884,1235,2087,2246,1965,1463,644,-334,-1201
1977,-1583,-658,270,1028,1794,1776,2291,1835,1572,891,101,-802
1978,-1178,-1144,-304,,1501,1836,2028,2028,1735,843,70,-789
1979,-1434,-1234,-101,583,1260,1847,2166,1888,1664,801,74,-312
1980,-899,-858,-291,827,1493,1865,2204,2007,1534,698,210,-653
1981,-877,-488,146,879,1328,1950,2153,1974,1444,746,298,-587
1982,,,-130,530,1642,1596,2176,1902,1487,1016,112,-197
1983,-583,-251,41,541,984,1896,2329,2180,1564,980,304,-1141
1984,-970,-105,-300,780,1199,1962,2033,2110,1496,1037,66,-531
1985,-1083,-851,261,1010,,1757,2048,1857,1475,897,-97,
1986,,,,,1489,1835,2218,1853,,914,-116,-359
1987,-538,-205,257,968,1616,2080,2296,1962,1554,643,,-147
1988,-960,,,,,,,,1648,559,211,-634
1989,-429,,-266,,,1826,2182,2024,1486,992,-77,
1990,-311,,207,973,1160,1893,2002,,,819,449,-600
1991,,-405,,,1612,2154,2037,2258,1512,,,
1993,,,,,,,,2121,,789,45,-421
1994,-1418,-1043,47,740,1437,2026,1933,1859,1757,1043,369,-206
1995,-707,-655,110,460,1314,2165,2218,2342,1437,980,-331,-798
1996,-1051,-823,,,,,,,,,,
1997,,,-105,602,,1991,2045,1793,1640,931,-68,-225
1998,-574,-11,74,925,1724,1846,2145,2112,1809,1019,393,-220
1999,-1050,-172,116,913,1541,1903,2300,1945,1508,811,514,-447
2000,-857,-266,507,686,1502,1868,2064,2053,1544,1127,152,-1114
2001,-540,-722,-100,985,1558,1906,2181,2240,1492,874,665,-129
2002,-338,-193,-280,742,1146,1987,,2107,1781,703,81,-320
2003,-920,-887,-34,668,1318,1834,2131,2187,1594,897,178,-279
2004,-1112,-514,212,802,1288,1793,2026,1803,1843,953,375,-537
2005,-894,-286,-221,959,1279,2207,2203,2142,1803,1064,225,-727
2006,-135,-670,55,1043,1498,1888,2324,2048,,666,363,-177
2007,-488,-1062,230,696,1607,2026,2154,2127,1741,1296,151,-700
2008,-813,-954,-257,793,1263,1947,2168,1970,1672,892,178,-979
2009,-1304,-513,-73,671,,1846,1834,1915,1664,675,529,-646
2010,-761,-440,358,1038,1473,1899,2231,2204,1473,1032,285,-668
2011,-955,-658,-170,567,,1826,2317,2074,1451,1035,350,-217
2012,-500,-156,858,751,,2112,2408,2022,1492,794,237,-252
2013,-746,-768,-329,425,1370,1895,,,1688,915,112,-968
2014,-1318,-1232,-496,572,1375,,1951,2042,1586,860,-165,-388
2015,-807,-1202,90,782,1505,1824,2088,1975,1940,1023,602,171
2016,-726,-399,362,596,1402,1934,2207,2187,1834,1125,657,-563
2017,-544,-127,-17,889,1272,1937,2126,1892,1772,1109,53,-763
2018,-776,-669,-17,130,1762,1995,2233,2177,1686,742,-141,-292
2019,-905,-954,-268,638,1155,1858,2257,1939,1745,867,-58,-267
2020,-347,-474,241,561,1276,2007,2313,2117,1513,625,496,-303
2021,-563,-1035,316,741,1286,2081,2089,2121,1673,1288,195,-198
2022,-1053,-692,-2,447,1458,1911,2096,2021,1650,930,349,-496
2023,-275,-398,-48,784,1323,1961,2145,2051,1828,1075,281,141
2024,-442,85,321,852,1506,1939,2096,2051,1852,1207,514,-302
2025,-784,-692,,,,,,,,,,
