1938,,,,,,,,,,1264,590,-53
1968,-477,-502,328,990,1263,1935,2130,2228,1793,1136,596,-93
1969,-345,-208,147,990,1497,1880,2265,2229,1778,1126,478,-245
1970,-709,-244,119,1030,1728,2119,2238,2127,1909,1265,551,32
1971,-567,-207,-3,641,1384,2184,2105,2072,2003,1570,539,358
1972,-238,-328,174,796,1500,1727,2213,2072,1788,970,423,140
1973,-91,-233,805,1007,1372,2130,2251,2287,1904,1427,699,126
1974,-3,-237,421,1072,1354,1901,2229,2133,1549,1068,605,-18
1975,-9,-87,143,540,1681,2095,2180,2240,1479,1210,832,-1
1976,-578,219,723,948,1291,2083,2199,2019,1613,891,93,-487
1977,-1199,-422,562,1045,1623,1708,2250,2054,1833,1109,710,-187
1978,-693,-880,-11,799,1489,2023,2199,2241,2037,1147,643,58
1979,-591,-751,570,839,1411,1968,2201,2226,1861,1163,603,120
1980,-332,-532,118,814,1501,1809,2268,2318,1848,914,439,-165
1981,-632,0,252,1062,1346,2039,2214,2144,1720,1031,617,-48
1982,-645,-349,311,727,1857,1816,2340,2024,1735,1326,776,501
1983,-42,134,519,871,1346,2086,2427,2347,1869,1251,717,-429
1984,-568,197,-139,884,1282,2144,2101,2201,1673,1406,554,307
1985,-564,-317,521,1262,1635,1764,2233,2106,1889,1279,839,-368
1986,-280,-162,433,1006,1614,1976,2301,2070,1962,1258,478,48
1987,-238,-68,407,966,1736,2137,2415,2171,1768,880,800,168
1988,-335,-327,320,900,1553,2064,2455,2361,1796,857,675,-24
1989,183,-312,356,752,1436,2033,2319,2185,1791,1234,516,-696
1990,229,136,572,984,1368,1995,2197,2116,1761,1224,754,218
1991,-245,60,499,1162,1953,2187,2387,2275,1822,1333,475,172
1992,-85,55,275,902,1454,1800,2168,1996,1756,1009,571,133
1993,31,-341,105,882,1526,2011,2404,2303,1696,1090,559,-67
1994,-692,-291,259,1045,1277,2111,2313,2089,1791,1264,897,290
1995,-90,-262,461,828,1535,2209,2432,2559,1753,1369,378,-285
1996,-295,-196,-16,840,1416,2119,2135,2204,1822,1269,283,193
1997,-309,178,419,779,1206,2055,2190,2017,1745,1214,434,122
1998,220,353,551,1004,1842,2069,2233,2272,1987,1240,759,320
1999,-230,194,173,1062,1653,2163,2502,2105,1877,1180,813,142
2000,-257,169,664,876,1683,2076,2046,2092,1773,1307,477,-494
2001,-197,52,157,1120,1602,2042,2260,2299,1678,1286,978,328
2002,190,154,344,1072,1353,2175,2461,2357,2084,1143,562,-27
2003,-556,-374,415,980,1478,1980,2293,2332,1805,1117,920,133
2004,-531,-82,512,987,1718,1971,2235,2051,1923,1242,738,-9
2005,-213,-16,76,972,1334,2360,2443,2379,1996,1287,747,-212
2006,410,-38,358,1125,1532,1939,2388,2295,1723,1052,762,400
2007,-4,-689,495,848,1707,2135,2207,2312,1972,1610,565,
2009,,,,,,,2095,2237,1843,1118,859,-29
2010,-283,-213,557,1320,1810,2230,2420,2368,1888,1227,611,-325
2011,-504,-179,230,989,1641,2096,2519,2219,1851,1195,871,293
2012,15,148,1067,923,1821,2175,2542,2219,1700,1156,449,311
2013,-99,-241,86,929,1727,2035,2316,2155,1820,1301,442,-7
2014,-578,-529,7,1035,1628,2142,2094,2157,1745,1212,310,220
2015,-470,-950,131,1009,1809,2062,2210,2170,2068,1278,924,687
2016,-191,44,735,888,1611,2242,2511,2570,2163,,,
2017,,,,,,,,,,1470,602,-226
2018,-327,175,84,599,1889,2131,2365,2366,2098,1245,287,227
2019,-275,-1,168,1072,1590,2004,2459,2228,2130,1388,336,285
2020,193,8,626,766,1439,2113,2483,2206,1798,1184,880,121
2021,-60,-393,697,1038,1461,2232,2262,2376,1982,1597,543,475
2022,-457,-95,539,894,1770,2177,2363,2278,1881,1216,746,145
2023,248,365,427,1119,1470,1955,2299,2151,1945,1385,632,559
2024,-61,335,674,1251,1838,2243,2359,2307,2062,1395,873,209
2025,-465,-198,653,1034,1441,2216,2440,2112,1856,1307,518,-138
2026,-576,-178,699,1275,1446,,,,,,,
